time_date_stamp,time s, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_A0,Current_temp_A1,Current_temp_A2,Current_temp_A3,Current_temp_A4,Current_temp_A5,Current_temp_A6,Current_temp_A7,Target_temp_A0,Target_temp_A1,Target_temp_A2,Target_temp_A3,Target_temp_A4,Target_temp_A5,Target_temp_A6,Target_temp_A7,kp_A0,kp_A1,kp_A2,kp_A3,kp_A4,kp_A5,kp_A6,kp_A7,ki_A0,ki_A1,ki_A2,ki_A3,ki_A4,ki_A5,ki_A6,ki_A7,kd_A0,kd_A1,kd_A2,kd_A3,kd_A4,kd_A5,kd_A6,kd_A7,Output_A0,Output_A1,Output_A2,Output_A3,Output_A4,Output_A5,Output_A6,Output_A7,BaSyTec Line.Loop_A0,BaSyTec Line.Loop_A1,BaSyTec Line.Loop_A2,BaSyTec Line.Loop_A3,BaSyTec Line.Loop_A4,BaSyTec Line.Loop_A5,BaSyTec Line.Loop_A6,BaSyTec Line.Loop_A7
20241022 _103453,0,45587.44089,1729589693,00:00:00,25,24.77,25,25,25,25.01,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.944,8.82,7.56,10.56,8.64,29.29,0,22.76,26.72,24.5,22.76,25.78,21.09,11.17,0,11.21,9.87,11.54,12.08,10.63,9.13,.,.,.,.,.,.,.,.
20241022 _103454,1.015289783,45587.44091,1729589694,00:00:00,25,24.77,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.944,8.82,7.56,10.56,8.64,29.29,0,22.76,26.72,24.5,22.76,25.78,21.09,11.08,0,11.11,9.76,9.31,12.26,10.49,9.11,.,.,.,.,.,.,.,.
20241022 _103455,2.029569864,45587.44092,1729589695,00:00:00,25,24.77,25,25,25,24.99,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.944,8.82,7.56,10.56,8.64,29.29,0,22.76,26.72,24.5,22.76,25.78,21.09,10.92,0,10.97,9.6,11.27,12.49,10.48,9.09,.,.,.,.,.,.,.,.
20241022 _103456,3.039869785,45587.44093,1729589696,00:00:00,25,24.77,25,25,25,25,25,25.01,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.944,8.82,7.56,10.56,8.64,29.29,0,22.76,26.72,24.5,22.76,25.78,21.09,11.14,0,11.06,9.7,13.34,12.43,10.61,8.95,.,.,.,.,.,.,.,.
20241022 _103457,4.041199923,45587.44094,1729589697,00:00:00,24.99,24.77,24.99,25,25,25,25,25.01,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.944,8.82,7.56,10.56,8.64,29.29,0,22.76,26.72,24.5,22.76,25.78,21.09,11.28,0,13.14,9.86,11.48,12.34,10.64,8.91,.,.,.,.,.,.,.,.
20241022 _103458,5.053489923,45587.44095,1729589698,00:00:00,25,24.77,25,25,24.99,25,25,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.944,8.82,7.56,10.56,8.64,29.29,0,22.76,26.72,24.5,22.76,25.78,21.09,11.21,0,11.22,9.9,11.65,12.34,10.52,9.25,.,.,.,.,.,.,.,.
20241022 _103459,6.067780018,45587.44097,1729589699,00:00:00,25,24.76,25,25.01,25,25,25,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.944,8.82,7.56,10.56,8.64,29.29,0,22.76,26.72,24.5,22.76,25.78,21.09,11.09,0,11.11,7.3,9.43,12.35,10.36,9.54,.,.,.,.,.,.,.,.
20241022 _103500,7.08205986,45587.44098,1729589700,00:00:00,25,24.77,25,25,25,25,25.01,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.944,8.82,7.56,10.56,8.64,29.29,0,22.76,26.72,24.5,22.76,25.78,21.09,11.05,0,10.98,11.7,11.31,12.22,10.16,9.27,.,.,.,.,.,.,.,.
20241022 _103501,8.10033989,45587.44099,1729589701,00:00:00,25,24.77,25,24.99,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.944,8.82,7.56,10.56,8.64,29.29,0,22.76,26.72,24.5,22.76,25.78,21.09,11.17,0,11.07,9.97,11.28,12.2,10.4,9.15,.,.,.,.,.,.,.,.
20241022 _103502,9.104659796,45587.441,1729589702,00:00:00,25,24.77,25,24.99,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.944,8.82,7.56,10.56,8.64,29.29,0,22.76,26.72,24.5,22.76,25.78,21.09,11.07,0,11.19,10.18,11.39,12.18,10.55,9.14,.,.,.,.,.,.,.,.
20241022 _103503,10.1219399,45587.44101,1729589703,00:00:00,25,24.77,25,25,24.99,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.944,8.82,7.56,10.56,8.64,29.29,0,22.76,26.72,24.5,22.76,25.78,21.09,10.94,0,11.1,9.98,11.66,12.26,10.58,9.12,.,.,.,.,.,.,.,.
