time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_B0,Current_temp_B1,Current_temp_B2,Current_temp_B3,Current_temp_B4,Current_temp_B5,Current_temp_B6,Current_temp_Falz-,Target_temp_B0,Target_temp_B1,Target_temp_B2,Target_temp_B3,Target_temp_B4,Target_temp_B5,Target_temp_B6,Target_temp_Falz-,kp_B0,kp_B1,kp_B2,kp_B3,kp_B4,kp_B5,kp_B6,kp_Falz-,ki_B0,ki_B1,ki_B2,ki_B3,ki_B4,ki_B5,ki_B6,ki_Falz-,kd_B0,kd_B1,kd_B2,kd_B3,kd_B4,kd_B5,kd_B6,kd_Falz-,Output_B0,Output_B1,Output_B2,Output_B3,Output_B4,Output_B5,Output_B6,Output_Falz-,BaSyTec Line.Loop_B0,BaSyTec Line.Loop_B1,BaSyTec Line.Loop_B2,BaSyTec Line.Loop_B3,BaSyTec Line.Loop_B4,BaSyTec Line.Loop_B5,BaSyTec Line.Loop_B6,BaSyTec Line.Loop_Falz-
20241022 _103514,45587.4411406713,1729589714.5543,00:00:00,24.99,25,25.01,25,25,25,24.99,23.86,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.45,7.85,7.76,8.61,8.81,8.72,6.61,0,.,.,.,.,.,.,.,.
20241022 _103515,45587.4411522685,1729589715.55662,00:00:00,25,24.99,25.01,25,25.01,25,25,23.86,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,5.47,8.2,7.68,8.56,8.59,8.72,8.4,0,.,.,.,.,.,.,.,.
20241022 _103516,45587.4411638426,1729589716.55695,00:00:00,25,24.99,25,25,25.01,25,25,23.86,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.26,8.15,7.68,10.23,8.54,8.72,8.33,0,.,.,.,.,.,.,.,.
20241022 _103517,45587.4411756019,1729589717.57223,00:00:00,25,25.01,25,25,25,25,25,23.86,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.36,7.83,7.73,8.55,8.72,8.62,6.43,0,.,.,.,.,.,.,.,.
20241022 _103518,45587.4411873032,1729589718.58353,00:00:00,25,25,25,25,24.99,24.99,25,23.86,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.39,7.78,7.73,8.55,8.84,8.83,10.15,0,.,.,.,.,.,.,.,.
20241022 _103519,45587.4411990278,1729589719.59682,00:00:00,25,24.99,25,25,25,24.99,25,23.86,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.41,8.22,7.79,8.63,8.82,8.99,8.38,0,.,.,.,.,.,.,.,.
20241022 _103520,45587.441210787,1729589720.6121,00:00:00,25,25,24.99,25,25,25,25,23.86,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,5.54,6.23,7.91,8.66,8.67,8.92,8.24,0,.,.,.,.,.,.,.,.
20241022 _103521,45587.4412225463,1729589721.62839,00:00:00,25,25,25,25,25,25,25.01,23.86,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.32,7.98,7.89,8.68,8.65,8.94,8.13,0,.,.,.,.,.,.,.,.
20241022 _103522,45587.4412342593,1729589722.64068,00:00:00,25,25,25,25,25,25,25,23.86,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.23,7.94,5.96,8.64,10.28,8.97,8.15,0,.,.,.,.,.,.,.,.
20241022 _103523,45587.4412459606,1729589723.65198,00:00:00,25,24.99,25,25.01,24.99,25,24.99,23.86,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.29,10,7.75,8.39,8.83,9,8.38,0,.,.,.,.,.,.,.,.
