"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1731757411","-1857.88","-1903.18","-1550.02","-1740.16","-1406.37","-1170.34","-2591.61","-2355.87","-2004.21","-1206.10","-1821.52","-250.04","-47216.12","-976.32","-1521.11","-1001.66"
"1731757412","-1808.11","-1939.83","-1492.80","-1736.58","-1410.84","-1038.91","-2201.50","-2251.86","-1852.51","-1320.54","-1912.71","-224.11","-47341.29","-1115.80","-1591.44","-784.40"
"1731757413","-1911.82","-2082.88","-1580.12","-1854.00","-1469.85","-1161.69","-2174.08","-2567.47","-1595.32","-1305.94","-2073.94","-223.52","-47559.44","-1034.74","-1746.12","-803.47"
"1731757414","-1975.89","-2125.20","-1702.90","-1912.12","-1463.59","-1299.08","-2441.11","-2548.10","-1667.74","-1246.93","-1870.99","-188.95","-47699.51","-833.87","-1568.79","-989.14"
"1731757415","-1737.77","-2087.06","-1658.20","-1842.08","-1437.96","-1260.04","-2513.23","-2408.92","-1907.35","-1229.05","-1716.02","-51.26","-47688.78","-775.16","-1483.56","-1052.62"
"1731757416","-1796.48","-1962.48","-1518.43","-1839.10","-1445.11","-1241.56","-2193.15","-2483.43","-1982.15","-1227.56","-1707.38","-21.16","-47631.86","-877.08","-1515.15","-954.27"
"1731757417","-1866.82","-1891.26","-1488.63","-1857.58","-1451.08","-1269.88","-2114.47","-2587.14","-1847.15","-1237.99","-1847.15","-146.63","-47406.26","-1085.70","-1592.93","-773.37"
"1731757418","-1785.46","-2016.72","-1536.01","-1840.59","-1456.14","-1244.54","-2599.06","-2527.83","-1618.56","-1214.15","-1841.49","-241.40","-47251.58","-1090.17","-1677.27","-778.73"
"1731757419","-1832.25","-2111.49","-1545.55","-1684.43","-1458.53","-1108.05","-2627.97","-2523.06","-1635.55","-1213.55","-1797.68","-199.38","-47315.06","-869.63","-1533.63","-895.26"
"1731757420","-1959.80","-1959.20","-1659.39","-1805.13","-1387.30","-1227.86","-2130.87","-2573.13","-1921.36","-1240.97","-1814.37","-220.24","-47554.37","-762.94","-1482.67","-1021.62"
