time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_D0,Current_temp_D1,Current_temp_D2,Current_temp_D3,Current_temp_D4,Current_temp_D5,Current_temp_D6,Current_temp_D7_Ableiter-,Target_temp_D0,Target_temp_D1,Target_temp_D2,Target_temp_D3,Target_temp_D4,Target_temp_D5,Target_temp_D6,Target_temp_D7_Ableiter-,kp_D0,kp_D1,kp_D2,kp_D3,kp_D4,kp_D5,kp_D6,kp_D7_Ableiter-,ki_D0,ki_D1,ki_D2,ki_D3,ki_D4,ki_D5,ki_D6,ki_D7_Ableiter-,kd_D0,kd_D1,kd_D2,kd_D3,kd_D4,kd_D5,kd_D6,kd_D7_Ableiter-,Output_D0,Output_D1,Output_D2,Output_D3,Output_D4,Output_D5,Output_D6,Output_D7_Ableiter-,BaSyTec Line.Loop_D0,BaSyTec Line.Loop_D1,BaSyTec Line.Loop_D2,BaSyTec Line.Loop_D3,BaSyTec Line.Loop_D4,BaSyTec Line.Loop_D5,BaSyTec Line.Loop_D6,BaSyTec Line.Loop_D7_Ableiter-
20241022 _103502,45587.4409979861,1729589702.22627,00:00:00,25.01,25,25.01,25,25,25,25.01,25.06,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.23,11.71,10.8,11.54,11.65,11.93,10.59,2.92,.,.,.,.,.,.,.,.
20241022 _103503,45587.4410095949,1729589703.22959,00:00:00,25,25,25,25,25,25.01,25,24.96,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,13.23,11.72,10.87,11.56,11.53,9.88,10.67,19.23,.,.,.,.,.,.,.,.
20241022 _103504,45587.441021331,1729589704.24387,00:00:00,24.99,25,24.99,25,25.01,25,24.99,25,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.56,9.65,12.87,11.47,9.5,11.78,12.73,5.93,.,.,.,.,.,.,.,.
20241022 _103505,45587.4410329514,1729589705.24719,00:00:00,25,25,24.99,25,25.01,25,24.99,25.01,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.47,13.65,11.11,9.63,11.38,11.76,10.93,3.59,.,.,.,.,.,.,.,.
20241022 _103506,45587.4410446759,1729589706.26048,00:00:00,25,25,25,25,25,25,25,25.04,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.37,11.7,11.03,13.14,13.49,11.98,10.86,8.13,.,.,.,.,.,.,.,.
20241022 _103507,45587.4410564005,1729589707.27377,00:00:00,25,25,25,25,25,25,25,24.93,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.34,11.7,10.91,11.54,11.62,12.02,10.74,19.16,.,.,.,.,.,.,.,.
20241022 _103508,45587.4410679861,1729589708.2741,00:00:00,25,25,25,25,25,25,25,25.05,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.46,11.7,10.88,11.57,11.51,9.97,10.74,0.77,.,.,.,.,.,.,.,.
20241022 _103509,45587.4410797338,1729589709.28938,00:00:00,24.99,25,25,25,25.01,25,25,24.98,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.61,11.7,9.2,11.36,11.36,11.8,10.73,18.72,.,.,.,.,.,.,.,.
20241022 _103510,45587.4410914699,1729589710.30367,00:00:00,25,25,24.99,25,25,25,25.01,24.98,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.42,11.7,11.13,11.33,11.46,11.78,10.59,7.18,.,.,.,.,.,.,.,.
20241022 _103511,45587.4411030671,1729589711.30599,00:00:00,25.01,25,24.99,25,25,25,25,25,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.29,11.7,11.16,11.42,11.58,11.87,12.5,4.86,.,.,.,.,.,.,.,.
