"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1731769618","-1856.39","-1887.08","-1460.02","-1567.60","-1413.52","-1159.91","-2177.36","-2450.64","-1853.41","-1110.43","-1656.71","-156.76","-47784.15","-959.93","-1377.76","-866.35"
"1731769619","-1678.17","-1808.11","-1466.27","-1697.54","-1517.24","-1157.52","-2104.34","-2432.17","-1806.02","-1061.86","-1857.58","-133.22","-47674.78","-927.45","-1595.02","-843.70"
"1731769620","-1664.46","-1976.19","-1603.07","-1836.12","-1369.71","-1209.97","-2330.84","-2340.97","-1642.11","-1097.62","-1874.57","-150.80","-47507.58","-945.93","-1676.68","-618.99"
"1731769621","-1840.29","-2005.70","-1636.15","-1797.38","-1305.94","-1174.51","-2449.45","-2453.63","-1543.16","-1216.83","-1679.66","-162.42","-47359.17","-939.37","-1480.28","-663.70"
"1731769622","-1803.04","-1952.35","-1514.55","-1600.09","-1358.69","-1157.22","-2110.60","-2453.92","-1697.24","-1263.32","-1664.16","-140.67","-47298.67","-916.72","-1372.10","-867.84"
"1731769623","-1639.13","-1989.31","-1429.62","-1597.40","-1378.95","-1147.39","-2040.86","-2382.70","-1887.68","-1074.97","-1854.30","-158.85","-47350.53","-697.08","-1540.78","-892.88"
"1731769624","-1785.16","-2009.57","-1444.22","-1788.44","-1329.78","-1176.89","-2293.88","-2387.76","-1842.68","-1023.71","-1941.62","-185.07","-47403.28","-751.61","-1634.66","-902.41"
"1731769625","-1891.55","-1837.61","-1560.75","-1853.41","-1316.67","-1178.68","-2402.07","-2391.04","-1591.15","-1101.79","-1782.48","-185.07","-47554.08","-970.96","-1636.45","-754.00"
"1731769626","-1746.71","-1755.36","-1633.76","-1717.51","-1312.49","-1147.39","-2225.94","-2382.40","-1547.34","-1100.00","-1648.07","-108.48","-47729.02","-963.51","-1441.54","-640.45"
"1731769627","-1651.35","-1910.33","-1567.01","-1598.00","-1335.44","-1199.84","-2076.92","-2268.25","-1746.71","-1251.10","-1715.12","-82.55","-47728.12","-955.76","-1374.19","-839.53"
"1731769628","-1824.50","-2002.42","-1434.98","-1638.83","-1327.99","-1199.54","-2165.14","-2388.66","-1897.81","-1272.26","-1789.33","-163.32","-47695.34","-930.13","-1565.81","-886.32"
"1731769629","-1887.98","-2014.04","-1413.23","-1676.08","-1311.60","-1170.34","-2322.20","-2410.71","-1730.02","-1038.61","-1890.66","-145.44","-47511.76","-700.65","-1673.10","-899.14"
"1731769630","-1644.79","-1874.57","-1537.20","-1688.60","-1403.39","-1154.24","-2377.93","-2400.58","-1599.49","-1054.11","-1794.10","-151.40","-47422.35","-655.06","-1593.83","-858.90"
"1731769631","-1664.76","-1761.91","-1603.07","-1823.90","-1540.78","-1142.92","-2179.15","-2428.00","-1556.87","-1131.59","-1645.68","-166.59","-47287.94","-959.63","-1401.01","-657.44"
